what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899230403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899233445
error,log,,,"Unable to validate connection settings.",1379899241120
error,log,,,"Unable to validate connection settings.",1379899241120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899241120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899243164
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1379899244334
error,log,,,"Unable to validate connection settings.",1379899244552
error,log,,,"Unable to validate connection settings.",1379899244552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899244568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899245504
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379899245628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899246268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899246377
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1379899247251
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1379899247282
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379899247812
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1379899248686
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1379899248686
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379899249684
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379899252087
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1379899259481
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1379899259497
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379899265971
error,log,,,"Unable to validate connection settings.",1379899267141
error,log,,,"Unable to validate connection settings.",1379899267141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899267141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379899278170
