what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1380747960822
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1380747960838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747980978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1380747980993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747981258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747981290
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1380747984207
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1380747984207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747985580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747993629
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1380747993832
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1380747993848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747993848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380747997171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748011960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748094625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748095264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748177252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748177361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748181916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748182868
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1380748182992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748184709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748184709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748187002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748402127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748403375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748959493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748960195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748971164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748971211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748972007
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380748972022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748972475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748973255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748973255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748974409
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1380748974581
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380748974627
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1380748974752
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1380748974752
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1380748974752
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1380748974752
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1380748974752
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1380748974752
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1380748974752
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1380748974752
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1380748974752
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1380748974752
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1380748974752
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1380748974752
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1380748974752
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1380748974752
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1380748974752
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1380748974752
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1380748974752
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1380748974752
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1380748974752
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1380748974752
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1380748974752
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1380748974752
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1380748974752
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1380748974752
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1380748974752
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1380749574967
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1380749574967
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1380749574967
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1380749574967
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1380749574967
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1380749574967
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1380749574967
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1380749574967
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1380749574967
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1380749574967
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1380749574967
