what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1380673067533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380673067923
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380673068984
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380673068984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1380673069733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380673070341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380673071449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380673076316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380673084210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380673087174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673088250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673090637
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380673092447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673098000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673099435
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1380673099560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673101760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673101760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673104271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673264739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673266128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673310575
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380673311090
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380673311839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673314553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673315520
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1380673315661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673317377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673317377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673320762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673359795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673360216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673363461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673364818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673498574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673499229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673651005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380673651769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674105482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674108929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674109865
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1380674110006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674111722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674111722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674114327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674152376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674152766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674179442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674180300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674349049
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380674349610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674351545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674352372
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380674352450
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1380674352918
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1380674352918
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1380674352933
