what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273029704
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273030702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273033027
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273033027
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x80] return code: 4, 'other error'",1381273033932
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x80, /cygdrive/c/Users/pwhite8/vlsi/fpga/software/isr_demo/isr_demo.elf] return code: 4, 'other error'",1381273036617
error,log,,,"Downloading ELF Process failed",1381273036617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273036617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273048926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273049862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273049955
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273051656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273054963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273068114
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273069424
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273070235
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273073059
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381273140451
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273186065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273190106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273190964
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1381273191151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273191182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273192103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273196611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273197469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273203413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273203428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273208108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273209653
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273209668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273210651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273219465
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381273219465
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273220307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273224020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273224894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273230837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273230853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273233333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273239246
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273239246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273246453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273251414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273255111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273255969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273261913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273261944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273275126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273389422
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273389438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273389453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273391856
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273393634
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273394445
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273397253
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381273421902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381273509699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381273511571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381273557857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381273586796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381273609166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273613456
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381273618355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273620664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273625702
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273626420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273632660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273633581
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273633721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273633752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273643533
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273645296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273646107
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273648931
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381273714592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273744638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273751814
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273751829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273755324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273756197
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273756338
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273757632
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273758444
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273761299
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381273785385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381273786649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381273797818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273923056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273927221
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273927237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273930294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273931152
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273931277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273931308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273932088
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273933835
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273936161
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --sidp=0x80, --id=0x7] return code: 4, 'other error'",1381273937066
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x80, --id=0x7, /cygdrive/c/Users/pwhite8/vlsi/fpga/software/isr_demo/isr_demo.elf] return code: 4, 'other error'",1381273939813
error,log,,,"Downloading ELF Process failed",1381273939813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273939813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273943744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273944946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273956646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381273959048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273961591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381273962449
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381273962558
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273963853
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381273964664
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381273967488
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381274007814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1381274012244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381274021713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381274038390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381274040932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274079293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274085330
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381274086391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274099432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274100384
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381274100509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274100556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274114018
error,log,,,"Unable to validate connection settings.",1381274122084
error,log,,,"Unable to validate connection settings.",1381274122084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274122084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274141396
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381274141412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274146061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274160085
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381274160101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274163954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274164890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274170927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274170958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274170958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274178134
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381274178150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274183048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274188040
error,log,,,"Unable to validate connection settings.",1381274207041
error,log,,,"Unable to validate connection settings.",1381274207041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274207041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274215496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274216978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274219194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274220145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274221836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274230432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274239731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274243787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274244707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274250682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274250698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274255596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274256298
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381274256298
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381274257593
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381274258404
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381274261228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381274281149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381275397719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381275397719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381275402789
