what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282155965
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1381282156088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282157712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282157720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282165831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282775933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282778939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282779861
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1381282779983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282781621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282781628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282788348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282796948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282797493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282843575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282847622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282848552
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1381282848676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282850299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282850306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282855190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381282962019
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381282962396
