what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381109955075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381109957050
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381109958360
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381109959177
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381109962052
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381109970316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381109979599
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381109981915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381109983823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381109985241
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381109985366
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381109986576
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381109987363
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381109990229
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381109998349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381110001143
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110001897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110003839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110005204
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381110005341
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110006555
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381110007348
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x80, --id=0x7, --timestamp=1381007943, /cygdrive/c/Users/pwhite8/vlsi/fpga/software/nios2_isr_test/nios2_isr_test.elf] return code: 4, 'other error'",1381110011606
error,log,,,"Downloading ELF Process failed",1381110011607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110011617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110012452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110013224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110017337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110018744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110021344
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110021983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110024286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110025181
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381110025306
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110026610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381110027427
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110030310
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381110073258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1381110090282
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110092447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110095682
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381110097168
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110098424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110099216
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381110099218
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110102103
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381110130292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110131284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110290003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110291370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110293994
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110294543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110297312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110298265
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381110298398
error,log,,,"Unable to validate connection settings.",1381110306007
error,log,,,"Unable to validate connection settings.",1381110306007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110306019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110307341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110307850
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110315123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110315129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110315137
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110315695
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110316696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110318545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110319436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110325059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110325090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110326514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110333975
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1381110333982
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110335280
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381110336097
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110338984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381110347859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110394837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110413983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110414750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110418247
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381110419195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110422409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381110424620
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381110425933
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381110426770
