what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1380998431439
error,log,,,"Core exception while retrieving the content description",1380998431439
error,log,,,"Core exception while retrieving the content description",1380998431441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998434831
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380998435844
error,log,,,"Core exception while retrieving the content description",1380998435894
error,log,,,"Core exception while retrieving the content description",1380998435895
error,log,,,"Core exception while retrieving the content description",1380998435896
error,log,,,"Core exception while retrieving the content description",1380998435898
error,log,,,"Core exception while retrieving the content description",1380998435901
error,log,,,"Core exception while retrieving the content description",1380998435903
error,log,,,"Core exception while retrieving the content description",1380998435904
error,log,,,"Core exception while retrieving the content description",1380998435907
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998436617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380998438055
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998439203
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998442623
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998442624
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1380998442644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998443805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998453321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380998454408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380998458323
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1380998460337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998460604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998469388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998469407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998475968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380998475986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998480903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998482158
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1380998482161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1380998482161
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998484451
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380998486861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998489669
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1380998491047
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1380998491052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998501932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1380998501941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998502205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998502229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998505328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998507872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1380998507879
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1380998511944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998512215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998519545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998519555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998523085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998529017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998531198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998534461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998535257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998579227
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380998580056
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1380998581334
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1380998581337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998582336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998583187
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1380998583386
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1380998583390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998587275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998587283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998592240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998598229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998598819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998747554
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380998748163
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380998754459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380998757952
