what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382564971957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564972811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564974077
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1382564974931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382564979644
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382564980762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564982428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564984264
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382564984405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564984411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564987834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382564993772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565191320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565194076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565195032
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382565195159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565196800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565196804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565199179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565302891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565305912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565306873
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382565306999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565308628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565308632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565312783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565329624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565330610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565537811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565540472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565541358
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382565541485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565543135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565543138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565545720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565816837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565817835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565820114
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1382565821009
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1382565837616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565840681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565841638
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382565841767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565841784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565843122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565846105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565846110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382565986977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566562365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566565626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566566587
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1382566566716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566568473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566568478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566574056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382566803543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1382566803875
