what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386027122542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027126260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027127214
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1386027127338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027127964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027436147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027439240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027440177
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1386027440308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027442038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027442042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386027450584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028008497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028011140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028012122
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1386028012242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028013904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028013908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028019780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028050089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028052918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028053846
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1386028053971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028055639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028055643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028058950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028484306
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386028484792
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386028486127
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386028487353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028488368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028489233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386028495457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028500664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028589661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386028589677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028592771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028597623
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1386028597747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028600232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028600236
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386028603274
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386028603469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028631590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028963562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386028964432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028974507
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1386028975959
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1386028975964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386028991297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1386028991302
